true_class,predicted_class,normal_confidence,attack_confidence
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.6644634696586765,0.3355365303413234
1.0,1.0,0.43829312691536954,0.5617068730846304
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.04006122871980595,0.9599387712801941
0.0,0.0,0.9256737628753479,0.07432623712465214
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.04006122871980595,0.9599387712801941
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.5192820280283139,0.48071797197168603
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.43829130598706373,0.5617086940129362
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,0.0,0.6666666666666485,0.33333333333335147
0.0,0.0,1.0,0.0
1.0,1.0,0.12875231165641174,0.8712476883435882
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,0.9138405537838827,0.08615944621611732
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.3085958315571576,0.6914041684428424
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.9138405537838827,0.08615944621611732
1.0,1.0,0.0,1.0
0.0,0.0,0.5,0.5
1.0,1.0,0.04006122871980595,0.9599387712801941
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.43810063716647724,0.5618993628335228
1.0,1.0,0.43810879913494943,0.5618912008650506
0.0,0.0,0.9946500099518548,0.0053499900481452775
1.0,1.0,0.04006122871980595,0.9599387712801941
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.10476730438663746,0.8952326956133625
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,4.1951065224515e-16,0.9999999999999996
1.0,1.0,0.12875231165641174,0.8712476883435882
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.4381030322658969,0.5618969677341031
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.019559427646918183,0.9804405723530818
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.018862524049657742,0.9811374759503423
1.0,1.0,0.4381006371608825,0.5618993628391176
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,0.0,0.746346938294917,0.25365306170508295
1.0,1.0,0.12875231165641174,0.8712476883435882
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
0.0,0.0,0.7432873049882778,0.2567126950117223
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.33333333333695053,0.6666666666630495
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,1.0,3.028076089030519e-50
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0
